Year,League Position,Champions League,Total Goals,Total Bookings
2010,2,semi-finalist,67,57
2011,1,semi-finalist,75,52
2012,2,semi-finalist,73,40
2013,3,Winner,78,59
2014,2,semi-finalist,70,43
2015,2,Winner,81,60
2016,2,Winner,59,55
2017,1,Winner,72,50
2018,3,Round of 16,63,41
2019,1,Round of 16,70,50
2020,2,semi-finalist,67,23
