Year,League Position,Champions League,Total Goals,Total Bookings
2010,1,Semi finals,94,73
2011,2,Semi finals,112,78
2012,1,Quarter finals,112,59
2013,2,Winner,96,50
2014,1,Quarter finals,125,100
2015,1,Quarter finals,130,89
2016,2,Quarter finals,145,101
2017,1,Quarter finals,110,97
2018,1,Semi finals,120,77
2019,2,Quarter finals,127,64
2020,3,Round of 16,85,50
