Year,League Position,Champions League,Total Goals,Total Bookings
2010,7,Round of 16,62,39
2011,5,Round of 16,53,40
2012,3,Round of 16,65,32
2013,1,Final,77,54
2014,3,Quarter Finals,67,49
2015,3,Final,63,36
2016,3,Semi Finals,70,47
2017,2,Group Stage,58,50
2018,2,Round of 16,55,30
2019,3,Quarter Finals,51,38
2020,1,Round of 16,67,40
